SEA-1,SEA-2,SEA-3,SEA-4,SEA-5,SEA-6,SEA-7,SEA-8,SEA-9,SEA-10,SEA-11,SEA-12,SEA-13,SEA-14,SEA-15,SEA-16
0.0,1095.0,1067.0,1135.0,1086.0,1081.0,1022.0,1286.0,992.0,1220.0,1379.0,1273.0,2974.0,2434.0,4960.0,3690.0
1095.0,0.0,862.0,732.0,718.0,692.0,900.0,909.0,842.0,960.0,1062.0,1040.0,2821.0,2247.0,5042.0,3810.0
1067.0,862.0,0.0,639.0,542.0,559.0,450.0,1117.0,932.0,1107.0,1135.0,1208.0,2583.0,2198.0,4981.0,3671.0
1135.0,732.0,639.0,0.0,202.0,388.0,680.0,1125.0,832.0,805.0,971.0,931.0,2681.0,2356.0,5053.0,3728.0
1086.0,718.0,542.0,202.0,0.0,377.0,583.0,1028.0,832.0,794.0,960.0,910.0,2620.0,2310.0,4976.0,3679.0
1081.0,692.0,559.0,388.0,377.0,0.0,680.0,985.0,782.0,836.0,1002.0,1007.0,2633.0,2368.0,5036.0,3717.0
1022.0,900.0,450.0,680.0,583.0,680.0,0.0,1279.0,970.0,1149.0,1196.0,1185.0,2508.0,2144.0,4992.0,3611.0
1286.0,909.0,1117.0,1125.0,1028.0,985.0,1279.0,0.0,865.0,622.0,901.0,921.0,2442.0,2069.0,4997.0,3793.0
992.0,842.0,932.0,832.0,832.0,782.0,970.0,865.0,0.0,764.0,1068.0,1009.0,2639.0,2340.0,5171.0,3817.0
1220.0,960.0,1107.0,805.0,794.0,836.0,1149.0,622.0,764.0,0.0,650.0,650.0,2493.0,2184.0,5080.0,3774.0
1379.0,1062.0,1135.0,971.0,960.0,1002.0,1196.0,901.0,1068.0,650.0,0.0,738.0,2796.0,2267.0,5036.0,3662.0
1273.0,1040.0,1208.0,931.0,910.0,1007.0,1185.0,921.0,1009.0,650.0,738.0,0.0,2678.0,2007.0,4975.0,3724.0
2974.0,2821.0,2583.0,2681.0,2620.0,2633.0,2508.0,2442.0,2639.0,2493.0,2796.0,2678.0,0.0,2358.0,5122.0,3844.0
2434.0,2247.0,2198.0,2356.0,2310.0,2368.0,2144.0,2069.0,2340.0,2184.0,2267.0,2007.0,2358.0,0.0,5180.0,3799.0
4960.0,5042.0,4981.0,5053.0,4976.0,5036.0,4992.0,4997.0,5171.0,5080.0,5036.0,4975.0,5122.0,5180.0,0.0,4981.0
3690.0,3810.0,3671.0,3728.0,3679.0,3717.0,3611.0,3793.0,3817.0,3774.0,3662.0,3724.0,3844.0,3799.0,4981.0,0.0
